Product/Company,Product/Company URL,Date/Source,Environmental Claims/Allegations,Year,channel,quote,claim_type,sub_category,plaintiff_law_firm,defendant_type,industry_sector,claim_location,certification_misuse,state_law_cited,relief_sought,jurisdiction,current_status,settlement_amount,ruling_date,ruling_pdf_url,ruling_description,case_name,court,docket_number,key_dates,summary,sources,verified_independently,confidence,research_error
Tide purclean laundry detergent,https://truthinadvertising.org/class-action/tide-purclean-laundry-detergent/,Aug./class action,Plant-based,2020,packaging,Plant Based; A Powerful Plant-Based Clean You Can Feel Good About,ingredients sourcing,plant-based ingredients,"Sheehan & Associates, P.C.",corporation,household goods,front of pack; back label,none,New York GBL 349,injunction; restitution; damages; attorney fees,"U.S. District Court, Southern District of New York",voluntarily_dismissed,,,,"The original lawsuit filed in August 2020 was voluntarily dismissed by the plaintiff as indicated in the case information provided, though specific dismissal details were not found in my search results.",Linda Cole v. The Procter & Gamble Company,U.S. District Court for the Southern District of New York,7:20-cv-06680,August 2020: Initial lawsuit filed; Multiple follow-up lawsuits filed in 2021 in different jurisdictions (including Paula Ogurkiewicz case No. 1:21-cv-00029 in Northern District of Illinois),"The original 2020 lawsuit alleged Tide PurClean was falsely marketed as 'plant-based' when it contained petroleum-derived cleaning aids and was only 75% biobased. The case was voluntarily dismissed, but similar allegations were pursued in subsequent lawsuits filed in 2021 in different jurisdictions.",https://topclassactions.com/lawsuit-settlements/lawsuit-news/procter-gamble-class-action-lawsuit-and-settlement-news/tide-class-action-lawsuit-says-purclean-laundry-detergent-isnt-so-pure/ | https://www.classaction.org/news/tide-purclean-laundry-detergent-not-as-plant-based-as-consumers-led-to-believe-class-action-suit-alleges | https://truthinadvertising.org/class-action/tide-purclean-laundry-detergent/ | https://www.law360.com/articles/1303113/p-g-buyer-says-tide-purclean-isn-t-as-pure-as-label-implies | https://topclassactions.com/lawsuit-settlements/consumer-products/cleaning-products/class-action-lawsuit-alleges-tide-purclean-label-is-misleading/ | https://www.classaction.org/news/another-class-action-claims-plant-based-tide-purclean-detergent-derived-from-petroleum,TRUE,medium,
Windex Vinegar window cleaner,https://truthinadvertising.org/class-action/windex-vinegar-products/,May/class action,Non-toxic,2020,packaging,Non-Toxic Formula,non-toxic,non-toxic,Reese LLP,corporation,household goods,front of pack,none,New York GBL 349,damages; restitution; attorney fees,"U.S. District Court, Southern District of New York",settled,"1,300,000",07/12/2021,,"The court approved a $1.3 million class action settlement for consumers who purchased Windex glass cleaners labeled as 'non-toxic' between January 1, 2019 and July 9, 2021. The settlement provided cash payments up to $10 without proof of purchase and up to $1 per product with proof of purchase.","Clark v. S.C. Johnson & Son, Inc.","Superior Court of California, Alameda County",RG 20067897,"Filed: 2020; Settlement announced: July 2021; Final approval hearing: December 7, 2021; Claim deadline: October 29, 2021","Multiple class action lawsuits were filed against S.C. Johnson & Son regarding Windex products labeled as 'non-toxic,' including the Windex Vinegar Glass Cleaner. The primary case that resulted in settlement was Clark v. S.C. Johnson & Son, which consolidated multiple similar claims and resulted in a $1.3 million settlement approved in December 2021. The original case mentioned (Rivera v. SC Johnson) in the Southern District of New York appears to have been voluntarily dismissed, likely as part of the consolidation into the California case.",https://topclassactions.com/lawsuit-settlements/closed-settlements/windex-glass-cleaners-1-3m-false-ad-class-action-settlement/ | http://www.clarkclasssettlement.com/home/faqs/ | https://www.prnewswire.com/news-releases/if-you-purchased-windex-original-glass-cleaner-windex-vinegar-glass-cleaner-windex-ammonia-free-glass-cleaner-or-windex-multi-surface-glass-cleaner-with-a-non-toxic-label-between-january-1-2019-and-july-9-2021-301345400.html | https://considertheconsumer.com/class-action-settlements/windex-glass-cleaner-settlement-2021-class-action-filed-over-non-toxic-advertising-claims-end-for-1-3-million | https://truthinadvertising.org/class-action/windex-vinegar-products/ | https://www.law360.com/articles/1271660/windex-vinegar-crafted-to-fool-eco-minded-buyers-suit-says,TRUE,high,
Kingsford hardwood briquettes,https://truthinadvertising.org/class-action/kingsford-100-natural-hardwood-briquettes/,Feb./class action,"Cleaner burn, environmentally friendly",2021,packaging,100% Natural Hardwood Briquets; Cleaner Burn,other,natural,"Law Office of James Chung; Sheehan & Associates, P.C.",LLC,household goods,front of pack,none,New York GBL 349,damages; injunction; attorney fees; punitive damages,"U.S. District Court, Southern District of New York",voluntarily_dismissed,,2021,https://truthinadvertising.org/wp-content/uploads/2021/02/Lee-v-Kingsford-Products-voluntary-dismissal.pdf,The case was voluntarily dismissed by the plaintiff,"Lee v. Kingsford Products Company, LLC","U.S. District Court, Southern District of New York",,"Filed February 2, 2021; Voluntarily dismissed February 2021","This class action lawsuit challenged Kingsford's '100% Natural Hardwood' briquettes marketing claims, alleging they contained synthetic ingredients like borax and sawdust rather than pure hardwood. <cite index=""22-2"">The case was voluntarily dismissed</cite> shortly after filing in 2021.",https://truthinadvertising.org/class-action/kingsford-100-natural-hardwood-briquettes/ | https://www.classaction.org/news/class-action-claims-kingsford-misleadingly-represents-100-natural-hardwood-charcoal | https://legalnewsline.com/stories/574083370-hardwood-briquettes-contain-sawdust-borax-lawsuit-says | https://classactionsreporter.com/kingsford-briquettes-100-natural-hardwood-claim-class-action/,TRUE,medium,
Windex window cleaner,https://truthinadvertising.org/class-action/windex-products/,May/class action,Non-toxic,2020,packaging,NON-TOXIC FORMULA,non-toxic,non-toxic,"Clarkson Law Firm, P.C.",corporation,household goods,front of pack,none,California UCL,damages;injunction;restitution;attorney fees,"U.S. District Court, Northern District of California",settled,"1,300,000",09/07/2021,,Class action settlement approved for $1.3 million with SC Johnson agreeing to remove 'non-toxic' labeling from Windex products and pay monetary compensation to affected consumers,"Clark v. S.C. Johnson & Son, Inc.","Superior Court of California, Alameda County",RG 20067897,"Filed: 2020; Settlement approved: July 9, 2021; Final approval hearing: December 7, 2021; Claim deadline: October 29, 2021",The class action lawsuit alleging Windex products were falsely labeled as 'non-toxic' was settled for $1.3 million in July 2021. The settlement included monetary payments to consumers and required SC Johnson to remove the misleading 'non-toxic' claims from product labeling within 90 days of final approval.,https://topclassactions.com/lawsuit-settlements/closed-settlements/windex-glass-cleaners-1-3m-false-ad-class-action-settlement/ | http://www.clarkclasssettlement.com/home/faqs/ | https://www.classaction.org/news/category/sc-johnson-son-inc | https://topclassactions.com/lawsuit-settlements/consumer-products/cleaning-products/windex-class-action-alleges-cleaner-contains-toxic-ingredients/ | https://considertheconsumer.com/class-action-settlements/windex-glass-cleaner-settlement-2021-class-action-filed-over-non-toxic-advertising-claims-end-for-1-3-million | https://www.prnewswire.com/news-releases/if-you-purchased-windex-original-glass-cleaner-windex-vinegar-glass-cleaner-windex-ammonia-free-glass-cleaner-or-windex-multi-surface-glass-cleaner-with-a-non-toxic-label-between-january-1-2019-and-july-9-2021-301345400.html,TRUE,high,
Repellem and Eco-Friendly trash bags,https://truthinadvertising.org/class-action/repellem-and-eco-friendly-trash-bags/,Dec./class action,"Biodegradable, eco-friendly",2020,packaging,made of 100% Natural Ingredients; biodegradable; Eco-Friendly; The Unique Trash Bag That Disappears 100% . . . Naturally,other,biodegradable,Law Offices of Mark Schlachet,corporation,household goods,front of pack,none,New York GBL 349,damages; injunction; corrective advertising; attorney fees,"U.S. District Court, Eastern District of New York",unknown,,,,"Original case was voluntarily dismissed in 2020, but no recent status information found",Menachem Cohen v. Repellem Consumer Products Corporation,U.S. District Court for the Eastern District of New York,2:20-cv-05830-JMA-ST,"Filed 2020, voluntarily dismissed December 2020",Class action lawsuit filed in 2020 claiming Repellem and ECOsmart biodegradable trash bags were falsely advertised as 100% natural and eco-friendly when they contained synthetic materials like LLDPE. The case was voluntarily dismissed in December 2020. No recent information found about whether the case was refiled or settled.,https://topclassactions.com/lawsuit-settlements/consumer-products/all-natural-products/biodegradable-trash-bags-not-made-of-natural-materials-class-action-lawsuit-claims/ | https://truthinadvertising.org/wp-content/uploads/2020/12/Cohen-v-Repellem-notice-of-dismissal.pdf | https://truthinadvertising.org/wp-content/uploads/2020/12/Cohen-v-Repellem-dismissal-order.pdf,TRUE,low,
Chinet disposable plates and bowls,https://truthinadvertising.org/class-action/chinet-plates-and-bowls/,Nov./class action,"Eco-friendly, compostable",2020,packaging,eco-friendly; made from RECYCLED MATERIAL AND COMPOSTABLE,PFAS,,Lexington Law Group,corporation,household goods,product labels,none,California UCL; California CLRA,damages; injunction; restitution; attorney fees,"U.S. District Court, Northern District of California",unknown,,,,,Velma Hernandez v. Huhtamaki Inc.,"U.S. District Court for the Northern District of California, San Francisco Division",3:20-cv-08155,Filed: November 2020,"A class action lawsuit was filed in November 2020 against Huhtamaki Inc. alleging that Chinet disposable plates and bowls were falsely marketed as eco-friendly and compostable when they allegedly contain PFAS chemicals that do not break down. No recent updates on case status, settlements, or court rulings were found in available sources.",https://topclassactions.com/lawsuit-settlements/consumer-products/household/chinet-disposable-plates-leach-toxins-class-action-lawsuit-says/ | https://considertheconsumer.com/consumer-class-actions/chinet-class-action-lawsuit | https://truthinadvertising.org/class-action/chinet-plates-and-bowls/ | https://truthinadvertising.org/articles/by-the-numbers-greenwashing-class-action-lawsuits/ | https://www.mainepublic.org/environment-and-outdoors/2022-06-17/a-federal-loophole-has-left-maine-in-the-dark-on-manufacturers-pfas-waste,FALSE,low,
Earth Rated dog poop bags,https://truthinadvertising.org/wp-content/uploads/2022/08/Natale-v-Earth-Rated-1st-amended-complaint.pdf,Dec./class action,Compostable,2021,packaging,Certified Compostable,other,compostable,"Bursor & Fisher, P.A.",corporation,household goods,front of pack,none,New York GBL 349,damages; restitution; attorney fees; injunction,"U.S. District Court, Eastern District of New York",settled,"825,000",23/10/2024,,"Final approval hearing held on October 23, 2024, where the court approved the $825,000 settlement for the class action lawsuit alleging Earth Rated's Certified Compostable Poop Bags were falsely advertised as compostable",Natale et al. v. 9199-4467 Quebec Inc. d/b/a Earth Rated,U.S. District Court for the Eastern District of New York,2:21-cv-06775-JS-SIL,"Filed: 2021; Final Approval Hearing: October 23, 2024; Claims Deadline: December 9, 2024; Settlement Administrator began issuing payments: March 11, 2025","Earth Rated agreed to pay $825,000 to settle a class action lawsuit alleging their 'Certified Compostable Poop Bags' were falsely advertised as compostable when they could not actually decompose in standard compost conditions. The settlement was given final approval in October 2024, with payments beginning in March 2025 to class members who purchased the bags between October 28, 2015 and June 13, 2024.",https://www.claimdepot.com/settlements/earth-rated-poop-bags-825000-dollar-settlement-for-misleading-compostable-claims | https://www.classaction.org/news/earth-rated-certified-compostable-dog-waste-bags-not-as-environmentally-friendly-as-advertised-class-action-claims | https://topclassactions.com/lawsuit-settlements/consumer-products/pet/earth-rated-class-action-claims-pet-wipes-falsely-advertised-as-plant-based/ | https://www.prnewswire.com/news-releases/if-you-purchased-one-or-more-units-of-earth-rated-certified-compostable-poop-bags-between-october-28-2015-and-june-13-2024-you-may-be-entitled-to-a-payment-from-a-class-action-settlement-302166451.html | https://topclassactions.com/lawsuit-settlements/closed-settlements/825k-earth-rated-compostable-poop-bags-class-action-settlement/ | https://www.classaction.org/settlements/earth-rated-poop-bags | https://usesparrow.com/blog/earth-rated-poop-bags-class-action-lawsuit-how-to-join/,TRUE,high,
Amazon disposable plates and bowls,https://truthinadvertising.org/class-action/compostable-plates-and-bowls-from-amazon/,June/class action,Compostable,2020,packaging,compostable,PFAS,,Lexington Law Group,corporation,household goods,labels,none,California UCL,injunction; restitution; damages; attorney fees,"U.S. District Court, Northern District of California",voluntarily_dismissed,,03/12/2020,https://truthinadvertising.org/wp-content/uploads/2020/08/Nguyen-v-Amazon-dismissal-order.pdf,Case was voluntarily dismissed by the plaintiff,"Nguyen et al v. Amazon.com, Inc.","U.S. District Court, Northern District of California",4:20-cv-04042,"Filed: June 17, 2020; Terminated: December 3, 2020","The class action lawsuit alleging Amazon misrepresented disposable plates and bowls as compostable when they contained PFAS chemicals was voluntarily dismissed by the plaintiff on December 3, 2020. The case was terminated after approximately 5 months without reaching trial or settlement.",https://truthinadvertising.org/class-action/compostable-plates-and-bowls-from-amazon/ | https://www.courtlistener.com/docket/17259206/nguyen-v-amazoncom-inc/,TRUE,high,
"Albertsons, Safeway and Lucerne Foods disposable plates and bowls",https://truthinadvertising.org/class-action/disposable-plates-and-bowls-from-albertsons-safeway-and-lucerne-foods/,May/class action,Compostable,2020,packaging,compostable,PFAS,,Lexington Law Group,multiple entities,household goods,front of pack,BPI,California UCL,damages; injunction; restitution; attorney fees,"U.S. District Court, Northern District of California",unknown,,,,No recent court ruling or order documents found,"DiGiancinto et al v. Albertsons Companies, Inc., Safeway, Inc., and Lucerne Foods, Inc.",U.S. District Court for the Northern District of California,20-cv-3382,Filed: May 2020,"Class action lawsuit filed in May 2020 alleging Albertsons, Safeway, and Lucerne Foods falsely marketed disposable plates and bowls as compostable when they allegedly contain PFAS chemicals that don't break down. Status unclear as no independent sources found confirming current disposition.",https://truthinadvertising.org/class-action/disposable-plates-and-bowls-from-albertsons-safeway-and-lucerne-foods/ | https://topclassactions.com/lawsuit-settlements/consumer-products/household/safeway-and-albertsons-class-action-says-stores-sold-toxic-plates/ | https://www.food-safety.com/articles/9397-pfas-litigation-and-fda-updates-for-the-food-industry,FALSE,low,
Mars dove & Oats company,https://www.courthousenews.com/wp-content/uploads/2020/02/Chocolate.pdf,Feb. 2020/class action,support sustainably sourced cocoa,2020,packaging,support sustainably sourced cocoa,ingredients sourcing,cocoa,Schonbrun Seplow Harris Hoffman & Zeldes LLP,corporation,food & beverage,front of pack,none,California CLRA; California UCL,damages; injunction; restitution,U.S. District Court Central District of California,motion_to_dismiss_granted,,09/09/2022,,MTD granted,"Myers v.MARS WRIGLEY
CONFECTIONERY US, LLC",U.S. District Court Central District of California,5:20-cv-00335-JWH-SHK,Filed Feb 2020; MTD denied May 2021; Settled Sept 2022,MTD granted,https://truthinadvertising.org/wp-content/uploads/2020/11/Myers-v-Starbucks-May-2021-order.pdf?utm_source=chatgpt.com,,,
GreenPan cookware,https://truthinadvertising.org/class-action/greenpan-cookware/,Sept./class action,Environmentally friendly,2019,packaging,"COMPLETELY TOXIN FREE; HEALTHY CERAMIC NON-STICK; No PFOA, PFAS, Lead or Cadmium",PFAS,,Finkelstein & Krinsk LLP,LLC,household goods,front of pack,none,California UCL,restitution; injunction; attorney fees,"U.S. District Court, Northern District of California",confidential settlement (before MTD),,15/12/2020,,"Case dismissed with prejudice as to the individual plaintiff (Anna Saldivar), without prejudice as to any proposed class members. Parties reached an individual settlement through arm's-length negotiations.",Anna Saldivar v. The Cookware Company (USA) LLC,"U.S. District Court, Northern District of California",5:19-cv-06014,"Filed: September 25, 2019; Terminated: December 15, 2020","The class action lawsuit alleging GreenPan's false advertising about toxin-free cookware was dismissed in December 2020 after the parties reached an individual settlement. The case was dismissed with prejudice for the named plaintiff but without prejudice for potential class members, meaning others could still file similar claims.",https://www.courtlistener.com/docket/16246389/anna-saldivar-v-the-cookware-company-usa-llc/ | https://www.classaction.org/news/class-action-seeks-to-debunk-numerous-allegedly-false-greenpan-product-claims | https://www.leafscore.com/eco-friendly-kitchen-products/why-we-no-longer-recommend-greenpan/ | https://www.greenpan.us/pages/why-is-greenpan-being-sued | https://www.mychemicalfreehouse.net/2024/07/greenpan-lawsuits-explained.html | https://ireadlabelsforyou.com/greenpan-non-stick-cookware/ | https://topclassactions.com/lawsuit-settlements/consumer-products/household/greenpan-class-action-says-non-stick-pans-contain-toxins/,TRUE,high,
Method household cleaners,https://truthinadvertising.org/class-action/method-household-cleaning-products/,May/class action,Non-toxic,2020,packaging,Non-Toxic,non-toxic,non-toxic,Reese LLP,multiple entities,household goods,front of pack,none,California UCL,injunction; restitution; attorney fees,"U.S. District Court, Northern District of California",voluntarily_dismissed,"2,500,000",,,"Case appears to have been voluntarily dismissed according to original case information, but this could not be independently verified","Toth et al v. S.C. Johnson & Son, Inc. and Method Products, PBC","U.S. District Court, Northern District of California",20-cv-3553,Filed: May 2020,"Class action lawsuit filed in May 2020 alleging Method household cleaning products were misleadingly marketed as 'non-toxic' when they allegedly contain harmful ingredients. The case appears to have been voluntarily dismissed, but current status could not be independently verified through court records or legal databases.",https://truthinadvertising.org/class-action/method-household-cleaning-products/ | https://cand.uscourts.gov/cases-e-filing/newly-filed-cases | https://pacer.uscourts.gov/file-case/court-cmecf-lookup/court/CANDC,FALSE,low,
Glad Recycling Bags,https://truthinadvertising.org/class-action/glad-recycling-bags-4/,April/class action,Recyclable and appropriate for recycling,2024,packaging,Recycling; Designed for Municipal Use,recyclable,LDPE plastic,"Manfred, APC & Clarkson Law Firm, P.C. & The Wright Law Office",multiple entities,household goods,front of pack,none,California CLRA,damages; injunction; restitution; attorney fees,"Superior Court of California, County of San Diego",confidential settlement (before MTD),,14/06/2024,,"Joint motion and stipulation for voluntary dismissal with prejudice as to plaintiff and without prejudice as to class, indicating a confidential settlement was reached",Woolard v. The Glad Products Co.,"Superior Court of California, County of San Diego / S.D. Cal.",3:24-cv-00504 (S.D. Cal.) and 37-2024-00016126-CU-BT-CTL (Cal. Super. Ct.),"Case filed 2024, settlement reached and voluntary dismissal filed by June 14, 2024","The Woolard v. Glad Products Co. greenwashing lawsuit alleging that Glad Recycling Trash Bags are deceptively marketed as recyclable reached a confidential settlement in 2024. The parties filed a joint motion for voluntary dismissal with prejudice as to the named plaintiff and without prejudice as to the class, indicating the individual plaintiff's claims were permanently resolved while preserving potential class member rights.",https://www.climatecasechart.com/collections/woolard-v-glad-products-co-_79f0c7 | https://resource-recycling.com/recycling/2023/03/27/glad-products-sued-over-marketing-of-its-recycling-bags/ | https://www.law360.com/cases/63dc2b33eaaca802671f0263 | https://truthinadvertising.org/class-action/glad-recycling-bags/,TRUE,medium,
WaterWipes baby and adult care wipes,https://truthinadvertising.org/wp-content/uploads/2022/12/Vences-v-WaterWipes-complaint.pdf,Feb./class action,Biodegradable,2023,packaging,"100% Biodegradable Wipes; Made from 100% plant fibres, biodegrades in 4 weeks",other,biodegradable,Laukaitis Law Firm LLC,corporation,household goods,front of pack; back label,none,multiple states,damages; restitution; injunction; attorney fees; punitive damages,"U.S. District Court, Northern District of Illinois",confidential settlement (before MTD),,17/04/2023,https://truthinadvertising.org/wp-content/uploads/2023/02/Vences-v-WaterWipes-status-report.pdf,"Joint status report indicating parties reached agreement in principle to settle the matter, with plaintiff to file notice of voluntary dismissal upon completion of settlement agreement","Christina Vences, et al. v. WaterWipes (USA) Inc.",U.S. District Court for the Northern District of Illinois,1:23-cv-00619,"Filed: January 2023; Settlement agreement in principle: April 17, 2023","The WaterWipes biodegradable class action lawsuit filed by Christina Vences was settled in April 2023. The parties reached an agreement in principle to settle and filed a joint status report requesting the court to vacate all pending deadlines, with the plaintiff agreeing to file a voluntary dismissal upon completion of the settlement agreement.",https://topclassactions.com/lawsuit-settlements/consumer-products/household/waterwipes-class-action-claims-products-falsely-advertised-as-100-biodegradable/ | https://www.classaction.org/news/waterwipes-far-from-100-biodegradable-as-advertised-class-action-claims | https://www.law360.com/articles/1572053/waterwipes-sued-over-100-biodegradable-labeling-claims | https://news.bloomberglaw.com/litigation/waterwipes-biodegradable-statement-deceptive-consumer-alleges | https://truthinadvertising.org/wp-content/uploads/2023/02/Vences-v-WaterWipes-status-report.pdf | https://dockets.justia.com/docket/illinois/ilndce/1:2023cv00619/429894,TRUE,high,
ALDI Atlantic salmon,https://truthinadvertising.org/class-action/aldi-atlantic-salmon/,May/class action,Sustainable,2021,packaging,Simple. Sustainable. Seafood.,ingredients sourcing,seafood,Esbrook Law P.C.; Richman Law & Policy,corporation,food & beverage,product packaging,none,New York GBL 349; multiple states,damages; injunction; restitution; attorney fees,"U.S. District Court, Northern District of Illinois",confidential settlement (after MTD),,15/11/2023,,Case dismissed with prejudice following voluntary stipulation of dismissal after parties reached final settlement agreement,Rawson v. ALDI Inc,"U.S. District Court, Northern District of Illinois",1:21-cv-02811,"Filed: May 25, 2021; Motion to dismiss denied: May 17, 2022; Settlement reached: September 5, 2023; Dismissed with prejudice: November 15, 2023","The class action lawsuit alleging ALDI falsely marketed Atlantic salmon as 'sustainable' when sourced from industrial Chilean fish farms was settled in late 2023. <cite index=""31-39,31-40,31-41"">A stipulation of dismissal has been filed. This case is dismissed with prejudice. Civil case terminated.</cite> As part of the settlement, <cite index=""23-1,23-5"">ALDI denied the allegation that its ""sustainable"" labeling is misleading but agreed to revise its fresh Atlantic salmon product labeling and marketing</cite>, and <cite index=""23-6"">ALDI will begin working to transition some of its supply of fresh Atlantic salmon products to aquaculture facilities certified by the Aquaculture Stewardship Council or the Global Animal Partnership</cite>.",https://www.courtlistener.com/docket/59944491/rawson-v-aldi-inc/ | https://www.seafoodsource.com/news/business-finance/sustainability-focused-false-labeling-lawsuits-dropped-after-aldi-agrees-to-change-farmed-salmon-marketing | https://www.seafoodsource.com/news/premium/supply-trade/aldi-negotiating-settlements-in-two-seafood-sustainability-claims-lawsuits | https://levinginsburg.com/class-action-claims-proceed-swimmingly-against-aldi/,TRUE,high,
Starbucks Hot Cocoa (Myers v. Starbucks),https://www.courthousenews.com/wp-content/uploads/2020/02/Chocolate.pdf,Feb. 2020/class action,Ethically sourced cocoa,2020,packaging,made with ethically sourced cocoa,ingredients sourcing,cocoa,Schonbrun Seplow Harris Hoffman & Zeldes LLP,corporation,food & beverage,front of pack,none,California CLRA; California UCL,damages; injunction; restitution,U.S. District Court Central District of California,confidential settlement (after MTD),,09/09/2022,,MTD denied - 'ethically sourced' claim could mislead consumers given child slavery endemic to cocoa trade,Myers v. Starbucks Corporation,U.S. District Court Central District of California,5:20-cv-00335-JWH-SHK,Filed Feb 2020; MTD denied May 2021; Settled Sept 2022,Starbucks' 'ethically sourced cocoa' claim challenged. Case settled after MTD denied.,https://news.bloomberglaw.com | https://caselaw.findlaw.com,TRUE,high,
Tillamook dairy products,https://truthinadvertising.org/class-action/dairy-products-from-tillamook-county-creamery-association/,Aug. 2019/class action,Better for the environment,2019,other channel,"Tillamook cheddar cheese is made with four ingredients, patience, and old-fashioned farmer values in Tillamook, Oregon; We're from a real place on the Oregon coast; our gold [i.e., cheese] comes from ... the deep green grass ... and pouring rain of the Tillamook Valley; We're committed to sustaining the farming way of life in Tillamook County; Made with pride by Tillamook County Creamery Association, Tillamook, OR; We treat our cows like family; Our farmers know that happy, healthy cows make quality, wholesome milk; The best dairy calls for the best cow care",Animal Welfare,Animal Welfare,Sugerman Law Office,corporation,food & beverage,website; product packaging; print and television advertisements; social media,none,Oregon Unlawful Trade Practices Act,damages; injunction; restitution; attorney fees,"Circuit Court of the State of Oregon, County of Multnomah",appeal_decided,,03/04/2025,https://www.uschamber.com/assets/documents/Opinion-Bohr-v.-Tillamook-County-Creamery-Oreg.-Sup.-Ct.pdf,Oregon Supreme Court reversed the Court of Appeals decision and ruled that plaintiffs do not need to prove individual reliance on Tillamook's alleged misrepresentations for their premium-price theory and prohibited-transaction theory claims. The court allowed the case to proceed back to trial court for class certification and further proceedings.,Bohr v. Tillamook County Creamery Association,Oregon Supreme Court (Case No. S069773); Originally filed in Multnomah County Circuit Court,S069773,"Filed: 2019; Circuit Court dismissal: 2020; Court of Appeals affirmed dismissal: 2022; Oregon Supreme Court oral arguments: March 2024; Supreme Court ruling: April 3, 2025","The Oregon Supreme Court ruled on April 3, 2025, that the class action lawsuit alleging Tillamook engaged in greenwashing practices can proceed. The court reversed lower court dismissals and clarified that consumers don't need to prove they individually relied on Tillamook's advertising to claim damages under the premium-price theory. The case now returns to trial court for class certification proceedings and to address the merits of the greenwashing claims.","https://law.justia.com/cases/oregon/supreme-court/2025/s069773.html | https://www.opb.org/article/2025/04/03/oregon-supreme-court-tillamook-lawsuit-case-moves-forward/ | https://capitalpress.com/2025/04/04/oregon-supreme-court-revives-legal-claims-against-tillamook-cooperative/ | https://www.goodstuffnw.com/2025/04/false-advertising-suit-against-tillamook-may-proceed-oregon-sup/ | https://sugermandahab.com/class-action/bohr-v-tillamook-county-creamery-association/ | https://ocj.org/news/oregon-supreme-court-ruling-paves-way-fairer-marketplace | https://www.chronline.com/stories/oregon-supreme-court-keeps-class-action-hopes-alive-in-greenwashing-case-against-tillamook,378190",TRUE,high,
StarKist tuna,https://truthinadvertising.org/class-action/starkist-tunas-dolphin-safe-representations/,May/class action,Dolphin safe,2019,packaging,Dolphin Safe,Animal Welfare,Animal Welfare,"Bonnett, Fairbourn, Friedman & Balint, P.C.",multiple entities,food & beverage,front of pack,none,multiple states,damages; injunction; corrective advertising; restitution; attorney fees,"U.S. District Court, Northern District of California",voluntarily_dismissed,,30/11/2021,,"The case was terminated/dismissed, likely voluntarily, as indicated by the CourtListener record showing termination on November 30, 2021. The case survived initial motions to dismiss in 2020, with the court denying StarKist's motion to dismiss the state law fraud claims but granting dismissal of RICO claims.",Gardner v. StarKist Co.,"U.S. District Court, Northern District of California",3:19-cv-02561,"Filed: May 2019; Motion to dismiss denied (partial) March 31, 2020; Case terminated: November 30, 2021","This dolphin-safe greenwashing lawsuit was filed in May 2019 against StarKist alleging false 'dolphin safe' labeling. The case survived StarKist's motion to dismiss in 2020, with the court finding plaintiffs adequately alleged state law fraud claims. However, the case was ultimately terminated on November 30, 2021, appearing to be voluntarily dismissed.",https://www.courtlistener.com/docket/15469455/gardner-v-starkist-co/ | https://case-law.vlex.com/vid/gardner-v-starkist-co-892055104 | https://www.undercurrentnews.com/2020/04/02/court-wont-dismiss-lawsuit-that-alleges-starkist-made-misleading-dolphin-safe-tuna-claims/ | https://www.seafoodsource.com/news/supply-trade/us-tuna-companies-face-class-action-lawsuits-over-dolphin-safe-claims | https://truthinadvertising.org/class-action/starkist-tunas-dolphin-safe-representations/ | https://law.justia.com/cases/federal/district-courts/california/candce/3:2019cv02561/342054/92/,TRUE,high,
Fancy Feast tuna,https://truthinadvertising.org/class-action/fancy-feast-tuna-products/,May/class action,Dolphin safe,2019,packaging,Dolphin Safe,Animal Welfare,Animal Welfare,"Bonnett, Fairbourn, Friedman & Balint, P.C.",corporation,food & beverage,front of pack,none,California UCL; California CLRA; New York GBL 349,damages; injunction; corrective advertising; restitution; attorney fees,"U.S. District Court, Central District of California",voluntarily_dismissed,,28/06/2019,https://truthinadvertising.org/wp-content/uploads/2019/06/Myers-v-Nestle-notice-of-voluntary-dismissal.pdf,Notice of voluntary dismissal filed by plaintiffs,Lori Myers et al. v. Nestle Purina Petcare Company,U.S. District Court for the Central District of California,5:19-cv-00898,"Filed: May 13, 2019; Voluntarily dismissed: June 28, 2019","<cite index=""2-3,2-4,2-5"">The lawsuit ""Lori Myers, et al. v. Nestle Purina Petcare Company"" was filed in the U.S. District Court - Central District of California. The case number is 5:19-­cv-­00898.</cite> <cite index=""5-1,5-2"">The Nestle-Purina lawsuit, filed on May 13, 2019, in California federal courts, claims the company labels its Fancy Feast brand of cat food as ""Dolphin Safe,"" while the company buys tuna from brokers who trade with fisheries who deliberately encircle both tuna and dolphins, hauling the whole catch in and killing dolphins as a result.</cite> The case appears to have been voluntarily dismissed in June 2019, consistent with the original information provided.",https://www.law360.com/cases/5cda9c3475a3443f4aea7301 | https://www.petfoodindustry.com/news-newsletters/pet-food-news/article/15465818/lawsuit-claims-purina-tuna-suppliers-harm-kill-dolphins | https://dockets.justia.com/docket/california/cacdce/5:2019cv00898/746442 | https://www.poisonedpets.com/dolphin-safe-canned-cat-food-think-again-lawsuit-accuses-nestle-purina-of-using-suppliers-whose-fishing-practices-endanger-marine-mammals/,TRUE,medium,
